Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
TOTAL,0,0,9223372036854775807,-9223372036854775808,0.00,0.000%,.00000,0.00,0.00,.0
1534080880382,1124,submitRegistrationForm,200,OK,ThreadGroup_GetAccessToken 1-2,text,false,7918,2,2,781
1534080880262,1248,submitRegistrationForm,Non HTTP response code: java.net.SocketException,Non HTTP response message: Socket closed,ThreadGroup_GetAccessToken 1-1,text,false,4070,1,1,900
